Index,DOI,jpegURL,jsonURL,occurrenceID,typeStatus,scientificName,canonicalName,phylum,order,family,genus,class,dateIdentified,verbatimEventDate,eventDate,year,month,day,verbatimLocality,locality,continent,countryCode,country,verbatimCoordinates,decimalLatitude,decimalLongitude,habitat,verbatimElevation,elevation,identifiedBy,verbatimRecordedBy,recordedBy,collectionID,institutionCode,fieldNotes,organismRemarks,catalogNumber,image_url,source_sheet,source_row
1,http://dx.doi.org/10.5281/zenodo.1483921,https://zenodo.org/record/1483921/files/E00289691.jpg,https://zenodo.org/record/1483921/files/E00289691.json,http://data.rbge.org.uk/herb/E00289691,,Abelia R.Br.,,Tracheophyta,Dipsacales,Caprifoliaceae,Abelia,Magnoliopsida,,38866,2006-05-29,2006,5,29,,"Danzha Cun. In the vicinity of Zhaobitan forest farm, ca. 26.5 direct km NNW of Houqiao (Guyong).",,CN,China,,25.543333,98.222222,,2630 M,2630,,,Gaoligong Shan Biotic Survey Expedition - Summer 2006,http://biocol.org/urn:lsid:biocol.org:col:15670,E,Shrub less than 1.5 m tall. Flowers whitish yellow. Forest dominated by Lithocarpus. Growing in forest in shade.,,E00289691,https://zenodo.org/record/1483921/files/E00289691.jpg,main_data,2
2,http://dx.doi.org/10.5281/zenodo.1485914,https://zenodo.org/record/1485914/files/K000587145.jpg,https://zenodo.org/record/1485914/files/K000587145.json,http://specimens.kew.org/herbarium/K000587145,ISOTYPE,Abolboda acaulis var. acaulis,,Tracheophyta,Poales,Xyridaceae,Abolboda,Liliopsida,,,1944-04-30,1944,4,30,,Plants of the Kaieteur Plateau,,GY,Guyana,,,,in white sand from conglomerate and sandstone,,,"Kral, R.",,"Maguire, B.; Fanshawe, D.B.",,K,,,K000587145,https://zenodo.org/record/1485914/files/K000587145.jpg,main_data,3
3,http://dx.doi.org/10.5281/zenodo.1480332,https://zenodo.org/record/1480332/files/BM000796649.jpg,https://zenodo.org/record/1480332/files/BM000796649.json,333757c3-081a-478e-803d-6b2674a42754,HOLOTYPE,Acacia intricata S.Moore,,Tracheophyta,Fabales,Fabaceae,Acacia,Magnoliopsida,,,1916,1916,,,,,OCEANIA,AU,Australia,,,,,,,B R. Maslin,,Frederick Stoward,,NHMUK,,,BM000796649,https://zenodo.org/record/1480332/files/BM000796649.jpg,main_data,4
4,http://dx.doi.org/10.5281/zenodo.1486008,https://zenodo.org/record/1486008/files/K000821274.jpg,https://zenodo.org/record/1486008/files/K000821274.json,http://specimens.kew.org/herbarium/K000821274,ISOTYPE,Acacia johannis Pedley,,Tracheophyta,Fabales,Fabaceae,Acacia,Magnoliopsida,,,1990-04-13,1990,4,13,,Cook District; Mount Mulligan,,AU,Australia,,-16.9,144.85,Along small stream on southern end of the mountain.,,740,,,"Clarkson, J.R.",,K,,,K000821274,https://zenodo.org/record/1486008/files/K000821274.jpg,main_data,5
5,http://dx.doi.org/10.5281/zenodo.1486896,https://zenodo.org/record/1486896/files/L.2180891.jpg,https://zenodo.org/record/1486896/files/L.2180891.json,http://data.biodiversitydata.nl/naturalis/specimen/L.2180891,,Acalypha lanceolata Willd.,,Tracheophyta,Malpighiales,Euphorbiaceae,Acalypha,Magnoliopsida,,18240,1949-12-08,1949,12,8,,Bogor Botanical Garden,ASIA,ID,Indonesia,,,,,,,,,Kern JH,,,,,L.2180891,https://zenodo.org/record/1486896/files/L.2180891.jpg,main_data,6
6,http://dx.doi.org/10.5281/zenodo.1486584,https://zenodo.org/record/1486584/files/K001031711.jpg,https://zenodo.org/record/1486584/files/K001031711.json,http://specimens.kew.org/herbarium/K001031711,,Acanthospermum australe Kuntze,,Tracheophyta,Asterales,Asteraceae,Acanthospermum,Magnoliopsida,,,1962-07-23,1962,7,23,,"Road to Amapa, km 134, Agua Azul.",,BR,Brazil,,,,,,,,,"Pires, J.M.",,K,,,K001031711,https://zenodo.org/record/1486584/files/K001031711.jpg,main_data,7
7,http://dx.doi.org/10.5281/zenodo.1481035,https://zenodo.org/record/1481035/files/BR0000009519527.jpg,https://zenodo.org/record/1481035/files/BR0000009519527.json,http://www.botanicalcollections.be/specimen/BR0000009519527,ISOTYPE,Acanthus kulalensis Vollesen,,Tracheophyta,Lamiales,Acanthaceae,Acanthus,Magnoliopsida,,,2004-12-26,2004,12,26,,,,KE,Kenya,,,,,,,,,Luke W.R.Q. & Luke P.A.,,BR,,,BR0000009519527,https://zenodo.org/record/1481035/files/BR0000009519527.jpg,main_data,8
8,http://dx.doi.org/10.5281/zenodo.1484064,https://zenodo.org/record/1484064/files/E00431314.jpg,https://zenodo.org/record/1484064/files/E00431314.json,http://data.rbge.org.uk/herb/E00431314,,Aceras anthropophorum (L.) W.T.Aiton,,Tracheophyta,Asparagales,Orchidaceae,Orchis,Liliopsida,,1840,1840,1840,,,,near Deal,,GB,United Kingdom,,,,,,,,,,http://biocol.org/urn:lsid:biocol.org:col:15670,E,,,E00431314,https://zenodo.org/record/1484064/files/E00431314.jpg,main_data,9
9,http://dx.doi.org/10.5281/zenodo.1484070,https://zenodo.org/record/1484070/files/E00431342.jpg,https://zenodo.org/record/1484070/files/E00431342.json,http://data.rbge.org.uk/herb/E00431342,,Aceras anthropophorum (L.) W.T.Aiton,,Tracheophyta,Asparagales,Orchidaceae,Orchis,Liliopsida,,1838-07-10,1838-07-10,1838,7,10,,W of Cobham,,GB,United Kingdom,,,,,,,,,"Farre, F.",http://biocol.org/urn:lsid:biocol.org:col:15670,E,,,E00431342,https://zenodo.org/record/1484070/files/E00431342.jpg,main_data,10
10,http://dx.doi.org/10.5281/zenodo.1480292,https://zenodo.org/record/1480292/files/BM000574146.jpg,https://zenodo.org/record/1480292/files/BM000574146.json,43298286-0ea3-4999-abec-7bb712a456e7,HOLOTYPE,Acridocarpus ballyi Launert,,Tracheophyta,Malpighiales,Malpighiaceae,Acridocarpus,Magnoliopsida,,,1975-06-14,1975,6,14,,,AFRICA,KE,Kenya,,0.529861,37.857882,"Arid semidesert, on rocky hills and in sandy plain",,150,Charles Cavender (Chuck) Davis,,Peter René Oscar Bally,,NHMUK,,,BM000574146,https://zenodo.org/record/1480292/files/BM000574146.jpg,main_data,11
